pathway	p.val	set.size
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	2.87193572090401e-27	224
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	3.18357769021369e-27	114
AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	6.44716299658766e-27	142
MANNO_MIDBRAIN_NEUROTYPES_HRN	2.21286794483323e-26	216
FAN_EMBRYONIC_CTX_ASTROCYTE_1	3.19354313601093e-26	57
ZHONG_PFC_MAJOR_TYPES_MICROGLIA	4.93128546689941e-26	381
ZHENG_CORD_BLOOD_C1_PUTATIVE_MEGAKARYOCYTE_PROGENITOR	6.19902841561081e-26	81
AIZARANI_LIVER_C29_MVECS_2	1.39491726149243e-25	297
ZHONG_PFC_C3_MICROGLIA	1.72813789962122e-25	357
FAN_EMBRYONIC_CTX_ASTROCYTE_2	2.75922907378534e-24	115
MANNO_MIDBRAIN_NEUROTYPES_HMGL	5.66372961680519e-24	495
MANNO_MIDBRAIN_NEUROTYPES_HNBM	2.61197501255759e-22	178
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_HORIZONTAL_BASAL_CELLS	2.90559731147919e-22	19
GAO_ESOPHAGUS_25W_C4_FGFR1HIGH_EPITHELIAL_CELLS	2.61457564971695e-21	169
AIZARANI_LIVER_C6_KUPFFER_CELLS_2	5.7584659427364e-21	192
HU_FETAL_RETINA_RPE	6.1323798958224e-21	227
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_MICROVILLAR_CELLS	6.64275099765533e-21	30
AIZARANI_LIVER_C23_KUPFFER_CELLS_3	2.41911805629777e-20	177
HAY_BONE_MARROW_PLATELET	1.03556959693144e-19	175
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	2.38399067162083e-19	117
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS	3.66122423639395e-19	81
CUI_DEVELOPING_HEART_LEFT_ATRIAL_CARDIOMYOCYTE	1.1430902372577e-18	13
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_SUSTENTACULAR_CELLS	1.16543832190247e-18	20
CUI_DEVELOPING_HEART_C8_MACROPHAGE	1.26760050173341e-18	240
GAO_SMALL_INTESTINE_24W_C7_SECRETORY_PROGENITOR	3.15369362539767e-18	26
AIZARANI_LIVER_C33_STELLATE_CELLS_2	7.74257347869021e-18	121
HU_FETAL_RETINA_MULLER	1.10130100495414e-17	34
HAY_BONE_MARROW_CD34_POS_HSC	1.40294608515067e-17	70
GAO_SMALL_INTESTINE_24W_C4_ENTEROCYTE_PROGENITOR_SUBTYPE_2	2.97843115364564e-17	53
FAN_EMBRYONIC_CTX_BRAIN_B_CELL	5.28984202111535e-17	73
CUI_DEVELOPING_HEART_C9_B_T_CELL	2.63333034054401e-16	114
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES	7.78676358385399e-16	63
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS	1.2169399170947e-15	97
MENON_FETAL_KIDNEY_6_COLLECTING_DUCT_CELLS	6.76772394934891e-15	79
ZHONG_PFC_C4_PTGDS_POS_OPC	9.81980066956208e-15	127
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_COLUMNAR_CELLS	1.57435151631945e-14	18
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	6.07702355071598e-14	274
HAY_BONE_MARROW_FOLLICULAR_B_CELL	2.56981307139434e-13	97
GAO_ESOPHAGUS_25W_C1_CILIATED_EPITHELIAL_CELLS	6.46750190178242e-13	239
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	7.25835389817617e-13	204
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS	1.22563219254706e-12	58
AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1	1.3368419153754e-12	29
AIZARANI_LIVER_C2_KUPFFER_CELLS_1	1.51604496574555e-12	160
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS	1.87560817892535e-12	46
ZHONG_PFC_C3_ASTROCYTE	4.69537752605847e-12	272
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	7.85692901956926e-12	62
ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON	8.166624062375e-12	21
FAN_EMBRYONIC_CTX_EX_2_EXCITATORY_NEURON	1.17925355966846e-11	13
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	1.28394773355034e-11	157
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL	1.39798643374046e-11	77
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	2.00085969997092e-11	106
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MATURE_NEURONS	3.44351841513336e-11	128
CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL	4.58826810725512e-11	138
CUI_DEVELOPING_HEART_COMPACT_VENTRICULAR_CARDIOMYOCYTE	1.06432701842321e-10	53
AIZARANI_LIVER_C18_NK_NKT_CELLS_5	1.5693086699518e-10	96
HU_FETAL_RETINA_BIPOLAR	3.83564238547024e-10	41
ZHENG_CORD_BLOOD_C3_MEGAKARYOCYTE_ERYTHROID_PROGENITOR	3.97813472298787e-10	88
CUI_DEVELOPING_HEART_C1_5TH_WEEK_CARDIAC_CELLS	1.74790070596105e-09	65
LAKE_ADULT_KIDNEY_C1_EPITHELIAL_CELLS_UNASSIGNED	1.75090695580854e-09	23
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES	2.22020790595666e-09	27
AIZARANI_LIVER_C32_MVECS_3	3.05776773766589e-09	112
HAY_BONE_MARROW_CD34_POS_MKP	3.70175635063775e-09	45
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR	4.53199522040022e-09	86
HAY_BONE_MARROW_NEUTROPHIL	4.94070103867505e-09	383
HAY_BONE_MARROW_CD34_POS_PRE_B	5.39719022845088e-09	68
HU_FETAL_RETINA_MICROGLIA	5.77800714587175e-09	332
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	6.77699184489742e-09	106
LAKE_ADULT_KIDNEY_C2_PODOCYTES	8.32980236039219e-09	181
AIZARANI_LIVER_C25_KUPFFER_CELLS_4	8.5514685617838e-09	133
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	9.27041715725227e-09	80
HAY_BONE_MARROW_CD34_POS_MULTILIN	1.3781553831369e-08	13
HAY_BONE_MARROW_DENDRITIC_CELL	1.66736228247754e-08	133
GAO_LARGE_INTESTINE_24W_C10_ENTEROCYTE	2.89599258900936e-08	29
AIZARANI_LIVER_C5_NK_NKT_CELLS_3	3.75972092949131e-08	82
FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	8.98256690649481e-08	352
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS	1.05300679307971e-07	76
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_GLOBOSE_BASAL_CELLS	1.89635985178803e-07	20
AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2	2.28667252114033e-07	26
HU_FETAL_RETINA_RPC	2.48478861422659e-07	78
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS	2.93163352261056e-07	64
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES	2.99428807351032e-07	145
AIZARANI_LIVER_C31_KUPFFER_CELLS_5	8.24032008394866e-07	90
GAO_LARGE_INTESTINE_24W_C5_LGR5POS_STEM_CELL	9.89965861622815e-07	33
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS	1.01553305189366e-06	54
HAY_BONE_MARROW_PLASMA_CELL	2.13329584995947e-06	73
LAKE_ADULT_KIDNEY_C16_COLLECTING_SYSTEM_PRINCIPAL_CELLS_CORTEX	2.27833753320091e-06	111
FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON	2.29058602332925e-06	29
MURARO_PANCREAS_EPSILON_CELL	2.70201014877567e-06	24
GAO_SMALL_INTESTINE_24W_C3_ENTEROCYTE_PROGENITOR_SUBTYPE_1	5.8294564559427e-06	30
MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS	5.95457681268718e-06	71
AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS	1.81884717150333e-05	103
LAKE_ADULT_KIDNEY_C29_UNKNOWN_NOVEL_PT_CFH_POS_SUBPOPULATION_S2	2.16353641559389e-05	69
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	4.14431459487189e-05	243
HU_FETAL_RETINA_AMACRINE	6.92759456850016e-05	41
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	7.32485858963803e-05	109
GAO_SMALL_INTESTINE_24W_C6_GOBLET_CELLS	8.80967320088931e-05	21
GAO_SMALL_INTESTINE_24W_C9_ENTEROENDOCRINE_CELL	0.000113532597108239	29
AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3	0.00012786025156693	17
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	0.000148823243339076	19
HU_FETAL_RETINA_PHOTORECEPTOR	0.000285298928609644	37
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS	0.000331321356666345	14
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS	0.000343986957563995	24
HAY_BONE_MARROW_NK_CELLS	0.00041330724220671	261
CUI_DEVELOPING_HEART_TRABECULAR_VENTRICULAR_CARDIOMYOCYTE	0.000565295680513594	90
ZHONG_PFC_C2_THY1_POS_OPC	0.000629257929098071	13
ZHONG_PFC_C1_ASTROCYTE	0.000649341621626056	23
HU_FETAL_RETINA_RGC	0.000691443732223641	328
MANNO_MIDBRAIN_NEUROTYPES_HNPROG	0.000709773821025085	142
ZHONG_PFC_MAJOR_TYPES_NPCS	0.000855015979693243	105
FAN_EMBRYONIC_CTX_MICROGLIA_3	0.000915185248863266	18
MENON_FETAL_KIDNEY_5_PROXIMAL_TUBULE_CELLS	0.00127978234381486	83
MENON_FETAL_KIDNEY_4_PODOCYTES	0.00177299574955028	183
GAO_LARGE_INTESTINE_24W_C8_GOBLET_CELL	0.0017847442196186	19
LAKE_ADULT_KIDNEY_C5_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM	0.00184726072582044	303
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	0.00189340702748239	162
ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2	0.00273008989938268	69
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	0.00373851409800612	102
GAO_LARGE_INTESTINE_ADULT_CG_GOBLET_CELL_SUBTYPE_2	0.00523212403589517	25
LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3	0.00554601589170728	104
HAY_BONE_MARROW_MONOCYTE	0.00625496466649015	176
FAN_EMBRYONIC_CTX_NSC_1	0.00675805989890745	14
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1	0.00775274564035894	380
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_UNSPECIFIED	0.00993351882975211	24
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS	0.0126604945937043	164
CUI_DEVELOPING_HEART_LEFT_VENTRICULAR_CARDIOMYOCYTE	0.0129345465517599	32
LAKE_ADULT_KIDNEY_C4_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2	0.0157952684608259	145
ZHONG_PFC_C7_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION	0.0230861263571294	49
CUI_DEVELOPING_HEART_RIGHT_ATRIAL_CARDIOMYOCYTE	0.0329547872271195	32
